Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016/4/12,"13,162",8.50,8.50,0.00,1.88,0.00,0.55,6.06,0.00,25.00,13.00,328.00,728.00,"1,985.00"
1503960366,2016/4/13,"10,735",6.97,6.97,0.00,1.57,0.00,0.69,4.71,0.00,21.00,19.00,217.00,776.00,"1,797.00"
1503960366,2016/4/14,"10,460",6.74,6.74,0.00,2.44,0.00,0.40,3.91,0.00,30.00,11.00,181.00,"1,218.00","1,776.00"
1503960366,2016/4/15,"9,762",6.28,6.28,0.00,2.14,0.00,1.26,2.83,0.00,29.00,34.00,209.00,726.00,"1,745.00"
1503960366,2016/4/16,"12,669",8.16,8.16,0.00,2.71,0.00,0.41,5.04,0.00,36.00,10.00,221.00,773.00,"1,863.00"
1503960366,2016/4/17,"9,705",6.48,6.48,0.00,3.19,0.00,0.78,2.51,0.00,38.00,20.00,164.00,539.00,"1,728.00"
1503960366,2016/4/18,"13,019",8.59,8.59,0.00,3.25,0.00,0.64,4.71,0.00,42.00,16.00,233.00,"1,149.00","1,921.00"
1503960366,2016/4/19,"15,506",9.88,9.88,0.00,3.53,0.00,1.32,5.03,0.00,50.00,31.00,264.00,775.00,"2,035.00"
1503960366,2016/4/20,"10,544",6.68,6.68,0.00,1.96,0.00,0.48,4.24,0.00,28.00,12.00,205.00,818.00,"1,786.00"
1503960366,2016/4/21,"9,819",6.34,6.34,0.00,1.34,0.00,0.35,4.65,0.00,19.00,8.00,211.00,838.00,"1,775.00"
1503960366,2016/4/22,"12,764",8.13,8.13,0.00,4.76,0.00,1.12,2.24,0.00,66.00,27.00,130.00,"1,217.00","1,827.00"
1503960366,2016/4/23,"14,371",9.04,9.04,0.00,2.81,0.00,0.87,5.36,0.00,41.00,21.00,262.00,732.00,"1,949.00"
1503960366,2016/4/24,"10,039",6.41,6.41,0.00,2.92,0.00,0.21,3.28,0.00,39.00,5.00,238.00,709.00,"1,788.00"
1503960366,2016/4/25,"15,355",9.80,9.80,0.00,5.29,0.00,0.57,3.94,0.00,73.00,14.00,216.00,814.00,"2,013.00"
1503960366,2016/4/26,"13,755",8.79,8.79,0.00,2.33,0.00,0.92,5.54,0.00,31.00,23.00,279.00,833.00,"1,970.00"
1503960366,2016/4/27,"18,134",12.21,12.21,0.00,6.40,0.00,0.41,5.41,0.00,78.00,11.00,243.00,"1,108.00","2,159.00"
